language,fleurs_config,fleurs_status,fleurs_train_files,fleurs_train_bytes,fleurs_schema_columns,ud_status,ud_treebank,ud_train_files,ud_train_bytes,ud_schema_columns,one_file_at_a_time,post_language_temp_files,error_type,error
Icelandic,is_is,ok,parquet-data/is_is/train-00000-of-00001.parquet,651355592.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,is_icepahc,parquet/is_icepahc/train.parquet,10950007.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Odia,or_in,ok,parquet-data/or_in/train-00000-of-00001.parquet,779973028.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Afrikaans,af_za,ok,parquet-data/af_za/train-00000-of-00001.parquet,825084625.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,af_afribooms,parquet/af_afribooms/train.parquet,474283.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Georgian,ka_ge,ok,parquet-data/ka_ge/train-00000-of-00001.parquet,1161929439.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ka_glc,parquet/ka_glc/train.parquet,1254556.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Slovak,sk_sk,ok,parquet-data/sk_sk/train-00000-of-00001.parquet,1333419854.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,sk_snk,parquet/sk_snk/train.parquet,1707764.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Arabic,ar_eg,ok,parquet-data/ar_eg/train-00000-of-00001.parquet,1381311999.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ar_padt,parquet/ar_padt/train.parquet,9721827.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Punjabi,pa_in,ok,parquet-data/pa_in/train-00000-of-00001.parquet,1455452751.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,pa_cs,parquet/pa_cs/train.parquet,61536.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Latvian,lv_lv,ok,parquet-data/lv_lv/train-00000-of-00001.parquet,1474247027.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,lv_lvtb,parquet/lv_lvtb/train.parquet,6666713.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Oromo,om_et,ok,parquet-data/om_et/train-00000-of-00001.parquet,1525768979.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Hindi,hi_in,ok,parquet-data/hi_in/train-00000-of-00001.parquet,1529543468.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,hi_hdtb,parquet/hi_hdtb/train.parquet,9524466.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
